economy,time,DT.NFL.UNEP.CD,EG.ELC.RNEW.ZS,IQ.CPA.ENVR.XQ,NY.ADJ.DNGY.GN.ZS,NY.GDP.PCAP.KD
CHN,2019,,,,0.574157573528853,10228.292811471
IDN,2000,,15.9560675060273,,6.76792335633852,1867.54879635774
IDN,2001,,17.474865190511,,4.86578620876522,1909.29186789858
IDN,2002,,14.9532883003595,,3.74787827020945,1968.30112833041
IDN,2003,,13.6385363003877,,3.4939640908622,2034.76146206165
IDN,2004,,13.6065178133036,,4.7850151575622,2108.64179486102
IDN,2005,,13.6055328591928,2.5,5.70800275520737,2199.09391371933
IDN,2006,,12.2587772033185,3.0,5.1146706201425,2289.4220118994
IDN,2007,,12.9038838981084,,4.52587256745443,2402.6675422689
IDN,2008,,13.3158324739161,,6.11128851159302,2513.67159183009
IDN,2009,,13.2330616046028,,3.09861196637609,2595.29875925407
IDN,2010,,15.8540249182646,,3.24547838988618,2720.19162246855
IDN,2011,,11.9928905172367,,4.01208264433189,2849.35498540064
IDN,2012,,11.2368144778283,,3.36129724257841,2980.61011028002
IDN,2013,,12.2701601703546,,2.89300745683716,3104.3479997837
IDN,2014,,11.4751004932507,,2.61847234416524,3217.31746802671
IDN,2015,,10.6511556345733,,1.52041679316841,3331.69511469189
IDN,2016,,12.0719582395239,,1.19115217650973,3456.9281144563
IDN,2017,,12.5605535137614,,1.47916203698481,3589.71554262199
IDN,2018,,17.0370007361396,,2.13865958578327,3732.86711146592
IDN,2019,,16.2466452115754,,1.67430358777039,3877.38297656325
IND,2000,,13.5909480276924,,1.0043252469389,757.668747182393
IND,2001,,13.2070435298578,,0.831145610337214,780.606234028164
IND,2002,,12.0551611624532,,0.810060767779493,796.724785581848
IND,2003,,13.4694247561217,,0.776053516991596,845.274844474013
IND,2004,,14.4825005007376,,1.03391900605446,897.628232696081
IND,2005,,16.6190180757235,3.5,1.14848247589609,953.567972961049
IND,2006,,17.5404247180092,3.5,1.22194212883779,1014.62764066211
IND,2007,,17.8640856862195,3.5,1.08092391364021,1075.99408734051
IND,2008,,16.5098337370558,3.5,1.66961951090894,1093.07655122533
IND,2009,,15.6600552489802,3.5,0.79325884433509,1162.49880786282
IND,2010,,16.0437444354595,3.5,0.949198537949571,1244.36601557133
IND,2011,,17.316962856526,3.5,1.4361599583979,1292.82120564033
IND,2012,,15.732973360913,4.0,1.29329590258639,1346.67591021698
IND,2013,,17.3493138262499,4.0,1.10870098390626,1415.8287215662
IND,2014,,16.2538398153488,,0.883039767825369,1503.42150701876
IND,2015,,15.3430503454798,,0.42702398208197,1605.60544457045
IND,2016,,,,0.344252564427978,1719.31807624158
IND,2017,,,,0.435301871558141,1816.73087569339
IND,2018,,,,0.576782006577425,1915.4352712462
IND,2019,,,,0.43393867772331,1972.75782082313
MEX,2000,,19.8040598030874,,2.23249511945251,8861.86956567291
MEX,2001,,17.1056320915192,,1.61545336832558,8702.9848728584
MEX,2002,,15.0558378891124,,1.73972755195228,8580.88729814666
MEX,2003,,12.1257149146759,,2.86862204552213,8587.08855266964
MEX,2004,,14.4484243401253,,3.43666397521605,8801.32190186818
MEX,2005,,15.1973138518471,,4.5726917081766,8877.85129102564
MEX,2006,,15.3342487645557,,4.84644887595782,9142.80477389632
MEX,2007,,14.0904430169788,,4.3730058199423,9214.35353384224
MEX,2008,,17.5430258247777,,5.07630594572336,9181.39996717864
MEX,2009,,12.9473322527395,,3.09232066956704,8568.61814933121
MEX,2010,,16.6028518855907,,3.56364231624693,8878.56137655041
MEX,2011,,14.8888030097341,,4.8682203554508,9076.30145285741
MEX,2012,,13.7881312901168,,4.64916511734376,9280.25863791442
MEX,2013,,13.2995432622778,,4.12992005303135,9282.99193347296
MEX,2014,,17.5435163318916,,3.40158586799789,9426.32458789743
MEX,2015,,15.3941337927222,,1.41571888562355,9616.64555810607
MEX,2016,,,,1.06301446609703,9751.56908337178
MEX,2017,,,,1.51809180390022,9842.40071150603
MEX,2018,,,,2.05761162436629,9945.77658502165
MEX,2019,,,,1.63888087021377,9832.45747500622
NGA,2000,,38.2155225096761,,12.3293645694629,1450.78383947842
NGA,2001,,38.2162721510801,,7.11252309433896,1498.52290815168
NGA,2002,,38.2176839173822,,4.53743435310231,1685.20092232036
NGA,2003,,36.9005152596116,,5.61238016983612,1763.69397985795
NGA,2004,,33.4006179196704,,8.63121410425364,1878.1507292242
NGA,2005,,33.000552274948,3.0,10.4179186815686,1948.04843636814
NGA,2006,,27.1008221549113,3.0,8.22246860671277,2012.84477173092
NGA,2007,,27.0998346244234,3.0,7.24742753485135,2089.77715420856
NGA,2008,,27.1009000473709,3.0,8.38047312479486,2172.79377093515
NGA,2009,,22.9003387773676,3.0,4.64501492603879,2285.73460055145
NGA,2010,,24.4018222885801,3.0,7.0874813999479,2403.64525649938
NGA,2011,,21.7614855367315,3.5,9.36320103683254,2464.3450444746
NGA,2012,,19.7136487145544,3.5,7.72222286858666,2500.64118074823
NGA,2013,,18.4399127514455,3.5,5.68555715718092,2597.00895705204
NGA,2014,,17.5913129318855,3.5,4.41008870670537,2688.2672430577
NGA,2015,,18.1951250556864,3.5,1.66545758179987,2687.48005643212
NGA,2016,,,3.5,1.32602620078149,2575.4554493501
NGA,2017,,,3.5,2.90944373598497,2529.38524845349
NGA,2018,,,3.5,4.44442591776582,2512.1923919651
NGA,2019,,,3.5,3.72698408371203,2502.652281009
RUS,2000,,18.729605644473,,8.95060901999651,6491.07222719881
RUS,2001,,19.5670238257211,,8.00660399246544,6851.11363704442
RUS,2002,,18.2608578316721,,7.60846022058152,7206.18951073778
RUS,2003,,17.0766945778758,,8.24311883878238,7767.40504219957
RUS,2004,,18.9562374651174,,8.37185568794996,8360.2516495949
RUS,2005,,18.2025297558032,,9.28510956649633,8929.30105401819
