areaCode,areaName,areaType,date,cumPeopleVaccinatedSecondDoseByVaccinationDate
E08000032,Bradford,utla,2021-12-18,328314
E09000018,Hounslow,utla,2021-12-18,187475
E09000032,Wandsworth,utla,2021-12-18,230512
E09000033,Westminster,utla,2021-12-18,146540
E10000034,Worcestershire,utla,2021-12-18,442373
S12000013,Na h-Eileanan Siar,utla,2021-12-18,20643
S12000029,South Lanarkshire,utla,2021-12-18,243067
S12000045,East Dunbartonshire,utla,2021-12-18,85904
E06000003,Redcar and Cleveland,utla,2021-12-17,98110
E06000014,York,utla,2021-12-17,148644
E06000050,Cheshire West and Chester,utla,2021-12-17,260225
E08000001,Bolton,utla,2021-12-17,191062
E08000016,Barnsley,utla,2021-12-17,170959
E08000031,Wolverhampton,utla,2021-12-17,164181
E08000032,Bradford,utla,2021-12-17,327926
E09000018,Hounslow,utla,2021-12-17,187200
E09000032,Wandsworth,utla,2021-12-17,230258
E09000033,Westminster,utla,2021-12-17,146405
E10000034,Worcestershire,utla,2021-12-17,441995
S12000013,Na h-Eileanan Siar,utla,2021-12-17,20593
S12000029,South Lanarkshire,utla,2021-12-17,242852
S12000045,East Dunbartonshire,utla,2021-12-17,85876
E06000003,Redcar and Cleveland,utla,2021-12-16,98069
E06000014,York,utla,2021-12-16,148484
E06000050,Cheshire West and Chester,utla,2021-12-16,259999
E08000001,Bolton,utla,2021-12-16,190827
E08000016,Barnsley,utla,2021-12-16,170834
E08000031,Wolverhampton,utla,2021-12-16,164037
E08000032,Bradford,utla,2021-12-16,327699
E09000018,Hounslow,utla,2021-12-16,187026
E09000032,Wandsworth,utla,2021-12-16,230039
E09000033,Westminster,utla,2021-12-16,146201
E10000034,Worcestershire,utla,2021-12-16,441458
S12000013,Na h-Eileanan Siar,utla,2021-12-16,20564
S12000029,South Lanarkshire,utla,2021-12-16,242752
S12000045,East Dunbartonshire,utla,2021-12-16,85816
E06000003,Redcar and Cleveland,utla,2021-12-15,98010
E06000014,York,utla,2021-12-15,148359
E06000050,Cheshire West and Chester,utla,2021-12-15,259781
E08000001,Bolton,utla,2021-12-15,190605
E08000016,Barnsley,utla,2021-12-15,170634
E08000031,Wolverhampton,utla,2021-12-15,163832
E08000032,Bradford,utla,2021-12-15,327354
E09000018,Hounslow,utla,2021-12-15,186827
E09000032,Wandsworth,utla,2021-12-15,229828
E09000033,Westminster,utla,2021-12-15,146038
E10000034,Worcestershire,utla,2021-12-15,440978
S12000013,Na h-Eileanan Siar,utla,2021-12-15,20552
S12000029,South Lanarkshire,utla,2021-12-15,242663
S12000045,East Dunbartonshire,utla,2021-12-15,85794
E06000003,Redcar and Cleveland,utla,2021-12-14,97843
E06000014,York,utla,2021-12-14,148244
E06000050,Cheshire West and Chester,utla,2021-12-14,259533
E08000001,Bolton,utla,2021-12-14,190389
