economy,time,EG.ELC.RNEW.ZS,NY.ADJ.DNGY.GN.ZS,NY.GDP.PCAP.KD,iff
IDN,2014,11.4751004932507,2.61847234416524,3217.31746802671,323.04
IDN,2015,10.6511556345733,1.52041679316841,3331.69511469189,387.78
IDN,2016,12.0719582395239,1.19115217650973,3456.9281144563,343.83
IDN,2017,12.5605535137614,1.47916203698481,3589.71554262199,430.16
IDN,2018,17.0370007361396,2.13865958578327,3732.86711146592,1076.35
IND,2000,13.5909480276924,1.0043252469389,757.668747182393,493.09
IND,2001,13.2070435298578,0.831145610337214,780.606234028164,197.73
IND,2002,12.0551611624532,0.810060767779493,796.724785581848,16.95
IND,2003,13.4694247561217,0.776053516991596,845.274844474013,10.53
IND,2004,14.4825005007376,1.03391900605446,897.628232696081,339.33
IND,2005,16.6190180757235,1.14848247589609,953.567972961049,160.14
IND,2006,17.5404247180092,1.22194212883779,1014.62764066211,158.07
IND,2007,17.8640856862195,1.08092391364021,1075.99408734051,473.55
IND,2008,16.5098337370558,1.66961951090894,1093.07655122533,336.18
IND,2009,15.6600552489802,0.79325884433509,1162.49880786282,218.35
IND,2010,16.0437444354595,0.949198537949571,1244.36601557133,315.53
IND,2011,17.316962856526,1.4361599583979,1292.82120564033,1930.89
IND,2012,15.732973360913,1.29329590258639,1346.67591021698,1150.25
IND,2013,17.3493138262499,1.10870098390626,1415.8287215662,524.44
IND,2014,16.2538398153488,0.883039767825369,1503.42150701876,703.19
IND,2015,15.3430503454798,0.42702398208197,1605.60544457045,929.76
IND,2016,,0.344252564427978,1719.31807624158,2173.37
IND,2017,,0.435301871558141,1816.73087569339,833.66
IND,2018,,0.576782006577425,1915.4352712462,2133.78
MEX,2000,19.8040598030874,2.23249511945251,8861.86956567291,2.41
MEX,2001,17.1056320915192,1.61545336832558,8702.9848728584,3.46
MEX,2002,15.0558378891124,1.73972755195228,8580.88729814666,14.42
MEX,2003,12.1257149146759,2.86862204552213,8587.08855266964,0.26
MEX,2004,14.4484243401253,3.43666397521605,8801.32190186818,0.52
MEX,2005,15.1973138518471,4.5726917081766,8877.85129102564,34.11
MEX,2006,15.3342487645557,4.84644887595782,9142.80477389632,33.26
MEX,2007,14.0904430169788,4.3730058199423,9214.35353384224,0.16
MEX,2008,17.5430258247777,5.07630594572336,9181.39996717864,6.79
MEX,2009,12.9473322527395,3.09232066956704,8568.61814933121,4.52
MEX,2010,16.6028518855907,3.56364231624693,8878.56137655041,47.98
MEX,2011,14.8888030097341,4.8682203554508,9076.30145285741,1.0
MEX,2012,13.7881312901168,4.64916511734376,9280.25863791442,378.66
MEX,2013,13.2995432622778,4.12992005303135,9282.99193347296,43.5
MEX,2014,17.5435163318916,3.40158586799789,9426.32458789743,385.36
MEX,2015,15.3941337927222,1.41571888562355,9616.64555810607,211.11
MEX,2016,,1.06301446609703,9751.56908337178,466.07
MEX,2017,,1.51809180390022,9842.40071150603,509.01
MEX,2018,,2.05761162436629,9945.77658502165,387.84
NGA,2002,38.2176839173822,4.53743435310231,1685.20092232036,0.0
NGA,2004,33.4006179196704,8.63121410425364,1878.1507292242,0.18
NGA,2005,33.000552274948,10.4179186815686,1948.04843636814,18.72
NGA,2006,27.1008221549113,8.22246860671277,2012.84477173092,1.21
NGA,2007,27.0998346244234,7.24742753485135,2089.77715420856,0.54
NGA,2010,24.4018222885801,7.0874813999479,2403.64525649938,0.58
NGA,2011,21.7614855367315,9.36320103683254,2464.3450444746,18.63
NGA,2012,19.7136487145544,7.72222286858666,2500.64118074823,21.05
NGA,2013,18.4399127514455,5.68555715718092,2597.00895705204,1012.01
NGA,2014,17.5913129318855,4.41008870670537,2688.2672430577,25.13
NGA,2015,18.1951250556864,1.66545758179987,2687.48005643212,46.76
NGA,2016,,1.32602620078149,2575.4554493501,61.62
NGA,2017,,2.90944373598497,2529.38524845349,5365.33
NGA,2018,,4.44442591776582,2512.1923919651,96.64
TUR,2000,24.9387617873553,0.0923698322916233,6543.7314468452,132.87
TUR,2001,19.8378488490528,0.0913001846518461,6075.99562671406,0.01
TUR,2004,30.7309984206824,0.0721704277177346,7194.68202623479,130.76
TUR,2005,24.5424683247302,0.079512483026726,7738.57821530378,0.35
TUR,2006,25.2536883362923,0.0879368144514328,8173.53625104099,0.25
TUR,2007,19.031833700498,0.0802723925156495,8483.96613595463,1.71
TUR,2008,17.3477204689091,0.125825470861104,8451.47911084719,68.32
